dx & \multicolumn{3}{c}{erro} & \multicolumn{3}{c}{Nc} \\
 & erro1 & erro2 & Nc_{xx} & Nc_{yy} & Nc_{zz} \\
1 0.21 & 1.80 & -0.042390 & 0.007254 & 0.035136 \\
3 0.12 & 1.80 & -0.031634 & 0.006264 & 0.025370 \\
5 0.09 & 1.81 & -0.025482 & 0.005560 & 0.019922 \\
7 0.07 & 1.81 & -0.021339 & 0.005018 & 0.016322 \\
9 0.06 & 1.80 & -0.018318 & 0.004580 & 0.013738 \\
11 0.05 & 1.80 & -0.015998 & 0.004213 & 0.011785 \\
13 0.04 & 1.80 & -0.014150 & 0.003896 & 0.010254 \\
15 0.04 & 1.79 & -0.012639 & 0.003618 & 0.009021 \\
17 0.04 & 1.78 & -0.011379 & 0.003371 & 0.008007 \\
19 0.03 & 1.78 & -0.010310 & 0.003150 & 0.007160 \\
21 0.03 & 1.77 & -0.009393 & 0.002951 & 0.006442 \\
23 0.03 & 1.77 & -0.008598 & 0.002770 & 0.005828 \\
25 0.03 & 1.76 & -0.007901 & 0.002604 & 0.005297 \\
27 0.03 & 1.75 & -0.007287 & 0.002453 & 0.004834 \\
29 0.02 & 1.75 & -0.006741 & 0.002313 & 0.004428 \\
31 0.02 & 1.74 & -0.006254 & 0.002185 & 0.004070 \\
33 0.02 & 1.73 & -0.005817 & 0.002066 & 0.003751 \\
35 0.02 & 1.73 & -0.005423 & 0.001956 & 0.003467 \\
37 0.02 & 1.72 & -0.005066 & 0.001853 & 0.003213 \\
39 0.02 & 1.71 & -0.004742 & 0.001758 & 0.002984 \\
41 0.02 & 1.70 & -0.004447 & 0.001669 & 0.002778 \\
43 0.02 & 1.70 & -0.004177 & 0.001586 & 0.002591 \\
45 0.02 & 1.69 & -0.003930 & 0.001509 & 0.002421 \\
47 0.02 & 1.69 & -0.003702 & 0.001436 & 0.002266 \\
49 0.01 & 1.69 & -0.003493 & 0.001368 & 0.002125 \\
51 0.01 & 1.69 & -0.003299 & 0.001304 & 0.001995 \\
53 0.01 & 1.69 & -0.003121 & 0.001244 & 0.001876 \\
55 0.01 & 1.69 & -0.002955 & 0.001188 & 0.001767 \\
57 0.01 & 1.69 & -0.002801 & 0.001135 & 0.001666 \\
59 0.01 & 1.69 & -0.002658 & 0.001085 & 0.001573 \\
61 0.01 & 1.69 & -0.002524 & 0.001037 & 0.001487 \\
63 0.01 & 1.69 & -0.002400 & 0.000993 & 0.001407 \\
65 0.01 & 1.69 & -0.002284 & 0.000951 & 0.001333 \\
67 0.01 & 1.69 & -0.002175 & 0.000911 & 0.001264 \\
69 0.01 & 1.69 & -0.002073 & 0.000873 & 0.001200 \\
71 0.01 & 1.69 & -0.001978 & 0.000838 & 0.001140 \\
73 0.01 & 1.69 & -0.001888 & 0.000804 & 0.001084 \\
75 0.02 & 0.47 & -0.001804 & 0.000772 & 0.001032 \\
77 0.01 & 0.27 & -0.001724 & 0.000741 & 0.000983 \\
79 0.01 & 0.22 & -0.001650 & 0.000712 & 0.000937 \\
81 0.01 & 0.19 & -0.001579 & 0.000685 & 0.000895 \\
83 0.01 & 0.17 & -0.001513 & 0.000659 & 0.000854 \\
85 0.01 & 0.15 & -0.001450 & 0.000634 & 0.000816 \\
87 0.01 & 0.14 & -0.001391 & 0.000610 & 0.000781 \\
89 0.01 & 0.12 & -0.001335 & 0.000588 & 0.000747 \\
91 0.01 & 0.12 & -0.001282 & 0.000566 & 0.000715 \\
93 0.01 & 0.11 & -0.001231 & 0.000546 & 0.000685 \\
95 0.01 & 0.10 & -0.001184 & 0.000527 & 0.000657 \\
97 0.01 & 0.09 & -0.001138 & 0.000508 & 0.000630 \\
99 0.01 & 0.09 & -0.001095 & 0.000490 & 0.000605 \\
